identificador,país,mulher_casa_filhos,casa_realização,trab_homem_mulher,homem_domésticas,homem_cuidado,lavar_roupa,pequenos_reparos,doença_parentes,compras,limpeza,comida,horas_trab_dom,divisão_tar_dom,conflito_tar_dom,decisões_crianças,sobrecarga_tar_dom,stress_casa,cansaço_tar_dom,cansaço_dom_trab,concentração_trab,familia_satisfação,filhos_maiores,crianças_pequenas,idade,sexo,status_marital,anos_escolaridade,emprego_status,horas_trab,rendimento,renda_familiar,identidade_etnica
35001485,Brazil (BR),Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do roughly my fair share,"Less often, rarely",Mostly me,Strongly agree,Strongly agree,Several times a month,Never,Several times a month,Very satisfied,1 child,NA,43,Male,"Marr,liv as mar",97,Employed-full time,40,200,400,"Europe,White/European"
35001486,Brazil (BR),Agree,Agree,Disagree,Agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",Done by a third person,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",30,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly disagree,Disagree,Never,Once or twice a year,Once or twice a year,Very satisfied,1 child,NA,35,Female,"Marr,liv as mar",8,Employed-part time,30,300,800,"Europe,White/European"
35001490,Brazil (BR),Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,21,I do roughly my fair share,Several times a year,"Mostly my spouse,partner",Strongly agree,Disagree,Once or twice a year,Never,Never,Very satisfied,1 child,NA,45,Female,"Marr,liv as mar",5,Employed-part time,42,240,480,"Other,mixed origin,one-non-swedish"
35001493,Brazil (BR),Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,About equal o both together,About equal o both together,14,I do roughly my fair share,"Less often, rarely",NA,Neither agree nor disagree,Agree,Several times a month,Never,Never,Very satisfied,NA,NA,21,Female,"Marr,liv as mar",11,Employed-full time,45,480,1280,"Europe,White/European"
35001496,Brazil (BR),Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",14,NA,Never,Mostly me,Agree,Strongly disagree,Several times a week,Several times a week,Several times a month,Very satisfied,2 children,NA,36,Male,"Marr,liv as mar",8,Employed-full time,96,480,630,"American Indian,Navajo,Ind.Dialect"
35001497,Brazil (BR),Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,"Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",20,I do roughly my fair share,"Less often, rarely",Mostly me,Strongly agree,Strongly agree,Several times a month,Once or twice a year,Once or twice a year,Very satisfied,NA,1 child,29,Male,"Marr,liv as mar",11,Employed-full time,46,480,720,"Europe,White/European"
35001500,Brazil (BR),Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",About equal o both together,30,I do roughly my fair share,Never,NA,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,2 children,NA,22,Male,"Marr,liv as mar",5,"Oth,not i labour force",NA,200,1600,"Europe,White/European"
35001501,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",50,I do a bit more than my fair share,"Less often, rarely",We decide together,Agree,Agree,Once or twice a year,Never,Never,Fairly satisfied,NA,NA,44,Female,"Marr,liv as mar",3,Unemployed,NA,NA,300,"Black/African/Carribean,No-Spanish"
35001502,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,"Usually my spouse,partner,PL:the man",About equal o both together,"Usually my spouse,partner,PL:the man",4,I do a bit less than my fair share,Never,We decide together,Strongly disagree,Strongly agree,Several times a week,Never,Never,Very satisfied,1 child,1 child,36,Male,"Marr,liv as mar",8,Employed-full time,50,1000,1500,"Other,mixed origin,one-non-swedish"
35001504,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",Done by a third person,30,I do roughly my fair share,"Less often, rarely",We decide together,Strongly disagree,Neither agree nor disagree,NA,NA,NA,Neither satisfied nor dissatisfied,4 children,NA,34,Female,"Marr,liv as mar",5,"Oth,not i labour force",NA,NA,1000,"Europe,White/European"
35001505,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Agree,Disagree,"Always me,PL:the woman",Done by a third person,NA,About equal o both together,"Always me,PL:the woman",Done by a third person,18,I do roughly my fair share,Several times a year,"Mostly my spouse,partner",Strongly agree,Disagree,Several times a month,Once or twice a year,Once or twice a year,Very satisfied,1 child,1 child,24,Female,"Marr,liv as mar",11,Employed-full time,60,500,1200,"Europe,White/European"
35001508,Brazil (BR),Disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,"Usually me,PL:the woman","Always my spouse,partner,PL:the man",NA,"Always me,PL:the woman",About equal o both together,About equal o both together,28,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Agree,Strongly disagree,Once or twice a year,Several times a month,Never,Very satisfied,NA,1 child,23,Female,"Marr,liv as mar",8,Employed-full time,34,80,480,"Europe,White/European"
35001511,Brazil (BR),Disagree,Strongly agree,Disagree,Strongly agree,Agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually me,PL:the woman",12,I do roughly my fair share,Several times a year,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Once or twice a year,Never,Never,Very satisfied,2 children,NA,41,Male,"Marr,liv as mar",11,Employed-full time,65,600,1200,"Other,mixed origin,one-non-swedish"
35001513,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,About equal o both together,"Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",6,I do roughly my fair share,Never,Mostly me,Agree,Agree,Never,Never,Never,Very satisfied,1 child,1 child,25,Male,"Marr,liv as mar",8,Employed-full time,40,360,520,"Europe,White/European"
35001514,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Usually my spouse,partner,PL:the man",NA,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",7,I do roughly my fair share,Never,We decide together,Disagree,Disagree,Once or twice a year,Never,Never,Very satisfied,2 children,1 child,26,Female,"Marr,liv as mar",6,Employed-full time,44,150,400,"Other,mixed origin,one-non-swedish"
35001515,Brazil (BR),NA,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,"Always me,PL:the woman",Done by a third person,"Always me,PL:the woman",Done by a third person,"Always me,PL:the woman","Always me,PL:the woman",70,I do much more than my fair share,"Less often, rarely","Mostly my spouse,partner",Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,60,Female,"Marr,liv as mar",1,Retired,NA,240,2000,"Europe,White/European"
35001516,Brazil (BR),Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Done by a third person,"Always me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man",Done by a third person,"Always my spouse,partner,PL:the man",2,I do a bit less than my fair share,Never,We decide together,Neither agree nor disagree,Strongly agree,Once or twice a year,NA,Never,Fairly satisfied,NA,NA,67,Male,"Marr,liv as mar",4,Retired,NA,240,480,"Europe,White/European"
35001517,Brazil (BR),Disagree,Disagree,Disagree,Agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",6,I do roughly my fair share,Several times a year,We decide together,Neither agree nor disagree,Strongly agree,Several times a month,Once or twice a year,Never,Fairly satisfied,2 children,NA,39,Male,"Marr,liv as mar",11,Employed-full time,40,720,720,"Europe,White/European"
35001518,Brazil (BR),Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",60,I do a bit more than my fair share,"Less often, rarely",We decide together,Strongly agree,Agree,Never,Never,Never,Neither satisfied nor dissatisfied,3 children,1 child,34,Female,"Marr,liv as mar",3,"Housewife,home duties",NA,150,1000,"Other,mixed origin,one-non-swedish"
35001520,Brazil (BR),Strongly agree,Agree,Disagree,Strongly disagree,Disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",1,I do a bit less than my fair share,"Less often, rarely",We decide together,Agree,Agree,Several times a month,Once or twice a year,Several times a month,Very satisfied,NA,1 child,24,Male,"Marr,liv as mar",11,Employed-full time,54,500,600,"Europe,White/European"
35001521,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",Done by a third person,About equal o both together,About equal o both together,About equal o both together,28,I do roughly my fair share,Never,We decide together,Strongly agree,Agree,Several times a month,Never,Once or twice a year,Fairly satisfied,NA,1 child,43,Female,"Marr,liv as mar",4,Employed-part time,20,120,700,"Europe,White/European"
35001522,Brazil (BR),Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,I do much less than my fair share,Never,Mostly me,Neither agree nor disagree,Neither agree nor disagree,NA,Several times a month,Several times a month,Fairly satisfied,NA,NA,46,Male,"Marr,liv as mar",4,Employed-full time,50,300,300,"Europe,White/European"
35001523,Brazil (BR),Strongly agree,Agree,Agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,21,I do much more than my fair share,"Less often, rarely",We decide together,Strongly agree,Disagree,Once or twice a year,Several times a month,Once or twice a year,Fairly satisfied,3 children,NA,32,Female,"Marr,liv as mar",4,Employed-part time,49,300,700,"Europe,White/European"
35001525,Brazil (BR),Disagree,Agree,Disagree,Agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",21,I do much more than my fair share,Several times a month,Mostly me,Agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,51,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,3800,"Europe,White/European"
35001530,Brazil (BR),Strongly agree,Strongly agree,Agree,Agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",5,I do roughly my fair share,"Less often, rarely",Mostly me,Disagree,Disagree,Never,Once or twice a year,Once or twice a year,Fairly satisfied,2 children,NA,48,Male,"Marr,liv as mar",3,Employed-full time,65,1000,1600,NA
35001531,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",5,I do much less than my fair share,Never,"Mostly my spouse,partner",Strongly agree,Strongly disagree,Never,Never,Never,Fairly satisfied,1 child,NA,65,Male,"Marr,liv as mar",4,Retired,NA,240,480,"Other,mixed origin,one-non-swedish"
35001534,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",70,NA,NA,NA,Strongly agree,Strongly disagree,Never,Never,Never,Very satisfied,3 children,1 child,45,Female,"Marr,liv as mar",1,Employed-full time,NA,150,390,"Other,mixed origin,one-non-swedish"
35001536,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Done by a third person,"Always me,PL:the woman",NA,Done by a third person,Done by a third person,Done by a third person,1,I do roughly my fair share,Never,Mostly me,Neither agree nor disagree,Strongly agree,Never,Never,Never,Very satisfied,3 children,NA,42,Male,"Marr,liv as mar",15,Employed-full time,40,2500,4000,"Other,mixed origin,one-non-swedish"
35001537,Brazil (BR),Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",44,I do much more than my fair share,Several times a week,Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,NA,1 child,22,Female,"Marr,liv as mar",10,"Housewife,home duties",NA,NA,240,"Other,mixed origin,one-non-swedish"
35001538,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Always me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman",44,I do much more than my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly disagree,Never,Never,Never,Fairly satisfied,1 child,NA,40,Female,"Marr,liv as mar",4,"Oth,not i labour force",NA,160,220,"Europe,White/European"
35001540,Brazil (BR),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Done by a third person,Done by a third person,"Usually me,PL:the woman",Done by a third person,Done by a third person,"Usually me,PL:the woman",44,NA,NA,Mostly me,NA,NA,NA,NA,NA,Very satisfied,NA,NA,75,Female,"Marr,liv as mar",3,Retired,NA,240,480,"Other,mixed origin,one-non-swedish"
35001541,Brazil (BR),Agree,NA,Strongly agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",10,I do much less than my fair share,Never,"Mostly my spouse,partner",NA,Strongly agree,Never,Never,Never,Very satisfied,2 children,NA,63,Male,"Marr,liv as mar",4,Employed-full time,NA,161,322,"Europe,White/European"
35001542,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,I do roughly my fair share,Never,Mostly me,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,54,Male,"Marr,liv as mar",2,Employed-full time,45,600,600,"Other,mixed origin,one-non-swedish"
35001545,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,About equal o both together,"Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,About equal o both together,30,I do roughly my fair share,Never,We decide together,Agree,Strongly disagree,Several times a week,Once or twice a year,Never,Fairly satisfied,2 children,NA,34,Male,"Marr,liv as mar",11,Employed-full time,48,290,590,"Europe,White/European"
35001552,Brazil (BR),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,20,I do roughly my fair share,Never,We decide together,Strongly disagree,Strongly agree,Never,Never,Never,Fairly satisfied,2 children,NA,44,Male,"Marr,liv as mar",8,"Oth,not i labour force",NA,NA,NA,"Asia,other Asian"
35001553,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually me,PL:the woman",Done by a third person,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,44,I do a bit more than my fair share,Never,"Mostly my spouse,partner",Strongly agree,Strongly agree,Once or twice a year,Several times a week,Never,Fairly satisfied,2 children,NA,44,Female,"Marr,liv as mar",6,Employed-part time,16,160,1000,"Other,mixed origin,one-non-swedish"
35001554,Brazil (BR),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Usually me,PL:the woman","Always me,PL:the woman",44,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly disagree,Never,Never,Never,Very satisfied,2 children,1 child,25,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,480,"Other,mixed origin,one-non-swedish"
35001555,Brazil (BR),Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Done by a third person,"Usually me,PL:the woman",NA,About equal o both together,Done by a third person,Done by a third person,5,I do roughly my fair share,Never,We decide together,Disagree,Strongly agree,Once or twice a year,Never,Never,Very satisfied,NA,NA,56,Male,"Marr,liv as mar",17,Employed-full time,64,5500,9000,"Europe,White/European"
35001557,Brazil (BR),Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Strongly agree,Neither agree nor disagree,Never,Never,Never,Very satisfied,NA,NA,53,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,400,"Europe,White/European"
35001561,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,40,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Once or twice a year,Once or twice a year,Once or twice a year,Fairly satisfied,4 children,1 child,38,Male,"Marr,liv as mar",3,"Oth,not i labour force",NA,NA,320,"Europe,White/European"
35001563,Brazil (BR),Agree,NA,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,Neither satisfied nor dissatisfied,NA,NA,38,Male,"Marr,liv as mar",4,"Oth,not i labour force",NA,250,250,"Europe,White/European"
35001564,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Agree,Agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",NA,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",10,I do roughly my fair share,Never,NA,NA,NA,NA,NA,NA,Neither satisfied nor dissatisfied,NA,NA,74,Male,"Marr,liv as mar",4,Retired,NA,790,790,"Europe,White/European"
35001569,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man",Done by a third person,About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman",20,I do roughly my fair share,Never,NA,NA,NA,NA,NA,NA,Fairly satisfied,NA,NA,30,Female,"Marr,liv as mar",8,"Oth,not i labour force",NA,NA,1000,"Europe,White/European"
35001570,Brazil (BR),Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",Done by a third person,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly disagree,Strongly agree,Never,Never,Never,Very satisfied,1 child,NA,41,Male,"Marr,liv as mar",13,Employed-full time,25,1500,2800,"Europe,White/European"
35001573,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man",14,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Agree,NA,NA,NA,Fairly satisfied,NA,NA,60,Male,"Marr,liv as mar",6,Retired,NA,600,600,"Europe,White/European"
35001575,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",3,I do roughly my fair share,Never,Mostly me,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,1 child,NA,47,Male,"Marr,liv as mar",4,Employed-part time,42,420,900,"Other,mixed origin,one-non-swedish"
35001578,Brazil (BR),Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman",NA,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,1 child,NA,41,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,200,800,"Europe,White/European"
35001580,Brazil (BR),Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,About equal o both together,NA,"Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,About equal o both together,18,I do a bit more than my fair share,"Less often, rarely","Mostly my spouse,partner",Neither agree nor disagree,Strongly agree,Never,Never,Never,Very satisfied,2 children,1 child,39,Male,"Marr,liv as mar",8,Retired,NA,700,1500,"Other,mixed origin,one-non-swedish"
35001581,Brazil (BR),Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",42,I do roughly my fair share,Never,Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Neither satisfied nor dissatisfied,2 children,NA,44,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,NA,"Europe,White/European"
35001582,Brazil (BR),Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",28,I do roughly my fair share,Never,Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,3 children,NA,32,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,NA,500,"Europe,White/European"
35001589,Brazil (BR),Agree,Agree,Agree,Strongly agree,Strongly agree,About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,About equal o both together,48,I do roughly my fair share,Several times a year,We decide together,Strongly agree,Strongly disagree,NA,NA,NA,Fairly satisfied,2 children,NA,49,Male,"Marr,liv as mar",10,"Oth,not i labour force",NA,NA,500,"Europe,White/European"
35001590,Brazil (BR),Agree,Strongly agree,Agree,Agree,Strongly agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",3,I do much less than my fair share,Never,We decide together,Neither agree nor disagree,Strongly agree,NA,NA,NA,Very satisfied,1 child,2 children,71,Male,"Marr,liv as mar",1,Retired,NA,1200,1200,"Europe,White/European"
35001595,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",30,I do roughly my fair share,Never,"Mostly my spouse,partner",Strongly agree,Strongly agree,NA,NA,NA,Very satisfied,NA,NA,59,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,800,800,"Europe,White/European"
35001597,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",35,I do a bit less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,NA,1 child,30,Female,"Marr,liv as mar",8,Employed-full time,20,300,600,"Europe,White/European"
35001598,Brazil (BR),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",30,I do roughly my fair share,"Less often, rarely","Mostly my spouse,partner",Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,1 child,1 child,22,Female,"Marr,liv as mar",11,"Oth,not i labour force",NA,100,400,"Black/African/Carribean,No-Spanish"
35001600,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",3,I do a bit less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Several times a month,Never,Never,Very satisfied,NA,1 child,33,Male,"Marr,liv as mar",15,Employed-part time,40,1200,1500,"Europe,White/European"
35001602,Brazil (BR),NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",Done by a third person,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,NA,NA,77,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,NA,240,"Other,mixed origin,one-non-swedish"
35001603,Brazil (BR),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man",35,I do roughly my fair share,"Less often, rarely",Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,1 child,NA,47,Male,"Marr,liv as mar",4,Unemployed,NA,NA,240,"Other,mixed origin,one-non-swedish"
35001604,Brazil (BR),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",15,I do roughly my fair share,Never,"Mostly my spouse,partner",Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,1 child,NA,80,Male,"Marr,liv as mar",3,Retired,NA,830,1080,"Europe,White/European"
35001605,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,About equal o both together,"Usually me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",28,I do roughly my fair share,Never,"Mostly my spouse,partner",Strongly agree,Strongly agree,Several times a week,Never,Never,Fairly satisfied,NA,NA,53,Male,"Marr,liv as mar",7,Employed-full time,44,900,1900,"Other,mixed origin,one-non-swedish"
